0,0,1,24,0,1,0,7,0,23,23,7,0,0,0,0,21,0,0,0,21,0,1,0,0
0,0,23,0,0,7,0,7,0,0,0,7,21,0,21,0,1,21,0,0,1,0,23,0,0
21,1,21,0,0,7,0,7,1,0,0,7,23,0,23,0,23,1,25,0,7,21,0,21,21
6,1,1,0,22,7,0,7,6,1,0,1,0,0,0,0,0,1,6,6,1,6,6,6,6
23,0,0,0,0,7,0,1,24,0,0,7,0,0,0,0,0,7,1,23,23,23,0,0,0
0,21,21,0,21,7,0,23,0,0,22,7,0,21,0,21,0,1,23,0,0,0,0,21,21
6,6,6,6,6,1,21,0,0,21,22,1,0,23,0,23,0,23,0,21,0,0,0,1,6
0,0,0,0,0,1,6,6,1,23,0,23,0,0,0,0,0,0,0,1,21,0,25,7,24
21,0,21,0,0,23,0,0,0,0,0,0,0,0,0,0,0,21,0,7,1,6,6,1,0
1,21,1,0,25,1,0,0,0,21,0,21,0,0,21,0,0,1,0,7,0,0,0,0,0
1,6,1,6,6,1,6,6,6,1,0,1,24,0,23,0,22,1,6,1,0,21,21,0,21
23,1,23,23,23,7,23,23,23,23,0,7,0,0,0,0,0,7,23,0,0,23,1,1,1
0,23,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,1,21,23,23,1
0,0,0,0,0,7,0,25,0,1,21,1,0,21,0,21,0,7,24,0,23,23,0,0,23
0,0,21,0,0,1,6,6,6,1,1,23,0,23,0,23,0,1,0,0,0,0,0,0,0
21,21,1,21,0,23,23,23,23,23,23,0,0,0,0,0,0,21,0,21,0,0,21,0,0
1,1,23,1,21,0,0,1,0,0,0,21,0,0,0,0,0,23,1,1,21,21,1,21,1
23,0,0,0,1,0,0,7,0,25,21,1,0,22,24,0,21,0,23,1,23,1,6,6,1
0,0,21,0,0,1,0,7,0,1,1,23,0,0,0,0,23,0,0,23,0,23,23,23,23
